person_id,event_id,event_name,date
18970,9414,"exciting Delaware, New Jersy. (Home of Barry Fletcher!)
",2017-06-11
18970,7107,"""Calvin Coolidge was the greatest man who ever came out of Plymouth
",2018-03-13
76489,5162,"executive.
",2017-10-14
76489,8629,"        You can make it foolproof, but you can't make it
",2017-06-04
76489,5493,"Accident: A condition in which presence of mind is good, but absence of
",2017-04-18
19421,8902,"                -- F. P. Jones
",2018-03-02
59914,8522,"1st customer: ""I'll have tea.""
",2017-10-10
75331,1894,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",2017-06-09
75331,6154,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",2017-10-25
95548,6156,"aureomycin, cocaine, interferon, and TLC.  The only ailment chicken
",2017-08-06
95548,2559,"But only what I tell it.
",2017-01-05
56181,1783,"Real Programmers' programs never work right the first time.  But if you throw
",2017-02-06
56181,9177,"                -- Yiddish saying
",2017-06-24
56181,1396,"Oh, let us never, never doubt
",2017-12-17
48712,4464,"Earn cash in your spare time -- blackmail your friends
",2017-05-05
48712,6437,"                -- Jules de Gaultier
",2017-01-03
48712,3441,"Earn cash in your spare time -- blackmail your friends.
",2017-12-18
69965,3244,"        In any organization there will always be one person who knows
",2017-12-25
69965,446,"Alimony is a system by which, when two people make a mistake, one of
",2017-04-14
96229,6379,"        Anything that can go wr
",2017-10-26
26130,3997,"                --Oscar Wilde
",2017-01-11
74708,9773,"Vital papers will demonstrate their vitality by spontaneously moving
",2017-05-02
23260,1171,"Only adults have difficulty with childproof caps.
",2018-01-30
23260,124,"        This person must be fired.
",2018-03-09
23260,4062,"        (Waiter exits, returns)
",2018-02-04
85594,7758,"                   ""Register Allocation in Optimizing Compilers""
",2017-03-04
85594,6131,"In a five year period we can get one superb programming language.  Only
",2017-04-19
69003,1542,"Automobile: A four-wheeled vehicle that runs up hills and down
",2017-12-27
69003,6015,"None.  The Universe spines the bulb, and the Zen master stays out of
",2017-02-04
78804,6589,"There was a young poet named Dan,
",2018-02-07
51605,1144,"returns of conjecture out of such a trifling investment of fact.
",2017-06-15
51605,8932,"tickets.
",2018-01-19
54518,1468,"            once.
",2017-12-07
54518,1926,"The average woman would rather have beauty than brains, because the
",2017-12-19
10654,1909,"they ought to be.  Hence the custom among the Scythians of plucking out
",2018-03-05
20267,1909,"                -- Macy's
",2017-04-17
20267,5493,"are 50-50 it will.
",2017-05-17
20267,8864,"government at all.
",2017-03-06
73127,1087,"A computer, to print out a fact,
",2018-02-05
73127,2924,"100 blocks of crud!
",2017-04-01
73127,8118,"ends.
",2017-09-17
78321,7349,"Gives us ham and pork and Bacon.
",2018-02-15
78321,5396,"Turnaucka's Law:
",2018-02-27
20524,5865,"The meek shall inherit the earth -- they are too weak to refuse.
",2017-10-22
20524,3570,"are 50-50 it will.
",2017-06-10
17957,4069,"        Support your right to bare arms!
",2017-12-08
17957,1909,"1st customer: ""I'll have tea.""
",2018-02-26
17957,1978,"                -- John Barrymore's dying words
",2017-06-09
48348,3629,"Who do you trust?
",2017-12-15
48348,8010,"A: Three.  One to screw in the lightbulb and two to fend off all those
",2017-08-08
74731,3570,"and wants it back the minute it begins to rain.
",2017-11-08
74731,2677,"FLASH!  Intelligence of mankind decreasing.  Details at ... uh, when
",2017-03-27
74731,5517,"Limericks are art forms complex,
",2017-05-11
97671,8666,"Coward: One who in a perilous emergency thinks with his legs.
",2017-08-24
97671,6625,"If the input was short of exact.
",2017-11-03
97671,2338,"None: ""The user can work it out.""
",2017-01-16
10968,6801,"The earth is like a tiny grain of sand, only much, much heavier.
",2017-04-02
10968,5282,"Duct tape is like the force.  It has a light side, and a dark side, and
",2017-05-02
10968,6085,"Excellent day to have a rotten day.
",2017-09-27
13692,6636,"
",2017-05-18
13692,3199,"have a lucky day this year.
",2017-10-20
20655,3750,"Perhaps, unless the billboards fall
",2017-04-20
20655,6964,"How many losses at Project MAC?
",2017-01-23
11197,1302,"When someone says ""I want a programming language in which I need only
",2017-04-21
11197,7035,"        If an idea can survive a bureaucratic review and be implemented
",2018-01-05
51790,7684,"    ""All flesh is grass""
",2017-12-13
51790,5388,"How long a minute is depends on which side of the bathroom door you're on.
",2017-07-24
49911,5810,"it made.
",2017-01-19
49911,2207,"Genius may have its limitations, but stupidity is not thus
",2017-01-25
89135,1811,"        Western Civilization?
",2017-07-29
89135,4476,"Afternoon: That part of the day we spend worrying about how we wasted
",2017-07-07
73646,4235,"                -- Jules de Gaultier
",2018-04-26
73646,7315,"Dying is a very dull, dreary affair.  And my advice to you is to
",2017-05-28
62783,4754,"there is nothing in it.
",2017-08-23
62783,9583,"                -- Mark Twain
",2018-01-09
62783,7401,"You will be surprised by a loud noise.
",2017-11-09
90080,6884,"have a lucky day this year.
",2018-04-18
33793,6852,"                -- Maxwell Smart
",2017-04-16
33793,9784,"slandered.
",2018-02-05
33793,4554,"Lie: A very poor substitute for the truth, but the only one discovered
",2017-03-19
97633,70,"Naeser's Law:
",2018-04-05
97633,8279,"You might as well live.
",2018-02-14
97633,1782,"programming languages.
",2018-03-01
82421,124,"        There is a slight loss of parity.
",2017-07-27
82421,9828,"        While her lover lamented
",2018-03-24
82421,9319,"Every hack had seven bugs;
",2017-03-17
10914,8939,"                -- Kehlog Albran
",2017-04-04
10914,6020,"If God had wanted you to go around nude, He would have given you bigger
",2017-02-23
10914,916,"criticize, but if everybody hated you, you'd be paranoid too.
",2017-09-17
51184,7349,"
",2017-06-08
34086,924,"Acid -- better living through chemistry.
",2018-04-11
34086,7454,"""If you go on with this nuclear arms race, all you are going to do is
",2018-02-20
34086,2033,"Razors pain you;
",2018-03-01
26263,4062,"        ""And what will you do when you grow up to be as big as me?""
",2017-10-16
26263,8187,"In the long run, every program becomes rococo, and then rubble.
",2018-04-23
26263,8360,"                -- Maxwell Smart
",2018-01-02
34757,4464,"Whenever people agree with me I always feel I must be wrong.
",2017-07-27
46117,7236,"Got Mole problems?
",2017-02-28
46117,3251,"Another good night not to sleep in a eucalyptus tree.
",2018-01-22
11059,2958,"computer crashes.
",2017-02-05
34722,9362,"
",2017-06-12
34722,8925,"Fairy Tale: A horror story to prepare children for the newspapers.
",2017-07-23
34722,4429,"        It's made by our favorite monopoly!
",2017-08-02
75665,9250,"A university is what a college becomes when the faculty loses interest
",2017-09-24
53269,5593,"God made the Idiot for practice, and then He made the School Board
",2017-09-24
11015,5772,"Time flies like an arrow
",2018-01-29
11015,624,"Life is like an onion: you peel off layer after layer, then you find
",2017-10-02
11015,6701,"Remember, UNIX spelled backwards is XINU.
",2017-03-03
48639,5155,"People will buy anything that's one to a customer.
",2017-01-05
48639,4781,"visible signs of his divine right to be blown skyhigh with a dynamite
",2018-03-16
17183,3322,"Today is the first day of the rest of the mess
",2017-06-23
17183,7841,"Real Programmers don't write in BASIC.  Actually, no programmers write in BASIC
",2017-02-13
17183,4576,"today.
",2017-04-06
56580,4291,"Nostalgia isn't what it used to be.
",2017-07-29
56580,2863,"Will divide, multiply, and subtract.
",2018-04-08
56580,3885,"Let others think his heart is big,
",2018-03-19
89123,4884,"bogglingly big it is.  I mean, you may think it's a long way down the
",2017-03-29
65076,8902,"sane.""
",2017-02-13
65076,7156,"Real Programmers don't write in FORTRAN.  FORTRAN is for pipe stress freaks and
",2017-06-24
50176,7478,"Violence is the last refuge of the incompetent.
",2017-08-07
50176,7305,"                -- Bill Hoest
",2017-05-25
90251,5727,"Worst Vegetable of the Year: The brussels sprout.  This is also the
",2018-04-25
90251,3992,"""Why isn't there a special name for the tops of your feet?""
",2017-02-02
48656,4149,"""The climate of Bombay is such that its inhabitants have to live
",2017-08-21
48656,3244,"Acid -- better living through chemistry.
",2017-06-23
48656,6589,"it's because they were up all night.
",2017-09-02
24556,7271,FIFA World Cup Finals,2019-07-17
64769,1567,"                -- Albert Einstein
",2017-06-29
73509,5011,"Stay away from flying saucers today.
",2018-01-08
73509,3266,"Why did the Lord give us so much quickness of movement unless it was to
",2017-06-22
11161,4520,"by the number of people in the group.
",2017-08-16
11161,9626,"There is no time like the present for postponing what you ought to be
",2017-04-01
11161,134,"that I can.""
",2017-04-05
90397,2033,puzzled pint,2018-01-09
11414,4331,rstudio::conf(),2018-01-31
50931,9159,"""He was so narrow minded he could see through a keyhole with both
",2017-08-03
34473,2295,"Perhaps, unless the billboards fall
",2018-04-26
34473,4485,"the morning.
",2017-04-26
34473,8059,"A.A.A.A.A.: An organization for drunks who drive
",2017-06-15
59581,1999,"How long a minute is depends on which side of the bathroom door you're on.
",2018-03-21
50705,4674,"Symptoms, manifestations, bugs, and hacks,
",2017-07-19
16858,8249,"Adult: One old enough to know better.
",2018-01-12
16858,7822,"        Thy programs run, thy syscalls done,
",2017-09-28
16858,9432,"certain; and as far as they are certain, they do not refer to reality.
",2017-09-14
65907,9319,"                -- ""The Hitchhiker's Guide to the Galaxy""
",2017-04-23
65907,2716,"Hummingbirds never remember the words to songs.
",2017-06-30
65907,8759,"harder.
",2017-11-11
11470,9472,"computer crashes.
",2017-01-27
57469,4387,"        other.
",2017-10-08
71632,8569,"            once.
",2018-03-08
71632,6612,"        They usually have virgins,
",2018-03-21
71632,658,"find at least two human errors, including the error of blaming it on
",2017-10-07
46925,1519,"        1.  If reproducibility may be a problem, conduct the test only
",2017-06-22
46925,845,"Democracy is a form of government in which it is permitted to wonder
",2017-04-10
31538,7937,"Their topics run chiefly to sex.
",2017-03-19
84561,9917,"average man can see better than he can think.
",2017-03-13
84561,1994,"Accordion: A bagpipe with pleats.
",2017-08-24
73315,2755,"Gives us ham and pork and Bacon.
",2018-04-07
73315,1290,"to decadence without touching civilization.
",2017-11-06
73315,8468,"        Superiority is recessive.
",2017-04-24
93531,4143,"What the hell, go ahead and put all your eggs in one basket.
",2017-10-08
93531,3865,"                -- Clarence Darrow
",2017-07-20
21720,8515,"ends.
",2017-03-05
41653,737,"to worry.
",2017-06-06
41334,2986,"It's because I try to put every possible syllable into that last line
",2017-05-23
41334,8798,"responsibility at the other.
",2017-11-21
20640,9712,"Limericks are art forms complex,
",2017-11-12
62265,6178,"them on the machine they can be patched into working in ""only a few"" 30-hour
",2017-11-15
62265,9406,"        It runs all its programs in RPG!
",2017-10-04
49020,2167,"When the government bureau's remedies do not match your problem, you
",2018-02-26
49020,183,"Our OS who art in CPU, UNIX be thy name.
",2017-05-08
28217,8109,"Who lived on distilled kerosene
",2017-01-06
28217,4683,"Will divide, multiply, and subtract.
",2017-02-01
28217,6579,"Never try to outstubborn a cat.
",2017-10-04
44558,4461,"in the morning, and does not stop until you get to school.
",2018-04-14
67481,7535,"Horngren's Observation:
",2017-03-13
33944,8233,"When the government bureau's remedies do not match your problem, you
",2017-01-09
53486,4072,"The only way to get rid of a temptation is to yield to it.
",2017-07-26
53486,1673,"        The mouse dissolved
",2018-04-21
59511,9375,"The earth is like a tiny grain of sand, only much, much heavier.
",2017-02-04
59511,4464,"find at least two human errors, including the error of blaming it on
",2017-05-03
88952,1143,dplyr City Concert,2017-09-18
88952,1143,dplyr City Concert,2017-10-16
88952,1143,dplyr City Concert,2017-10-31
88952,1143,dplyr City Concert,2017-05-26
46781,8057,"lightly greased.""
",2017-10-10
46781,8727,"Stay away from hurricanes for a while.
",2017-11-20
46781,1998,"Call Avogardo 6.02 x 10^23
",2017-12-08
43331,3851,"                -- Groucho Marx
",2017-04-23
43331,6156,"You patch a bug, and dump it again:
",2017-11-13
43331,5616,"It seems like the less a statesman amounts to, the more he loves the
",2017-05-22
68352,6063,"A language that doesn't affect the way you think about programming is
",2017-12-10
73373,517,"Don't tell any big lies today.  Small ones can be just as effective.
",2017-08-21
73373,9353,"Majority: That quality that distinguishes a crime from a law.
",2017-02-24
73373,7535,"""That must be wonderful!  I don't understand it at all.""
",2017-10-30
84318,1923,"Truth will be out this morning.  (Which may really mess things up.)
",2018-03-26
84318,8335,"                -- John O'Hara
",2017-08-16
84318,5201,"...And malt does more than Milton can
",2017-06-17
77396,3251,"you are going to see of him until he emerges on the other side of his
",2017-12-26
30771,6986,"""Matrimony isn't a word, it's a sentence.""
",2017-02-01
30771,8468,"Why did the Roman Empire collapse?  What is the Latin for office
",2017-03-24
30771,4723,"bogglingly big it is.  I mean, you may think it's a long way down the
",2017-08-27
30887,9273,"""All my friends and I are crazy.  That's the only thing that keeps us
",2017-03-25
30887,6148,"A: Three.  One to screw in the lightbulb and two to fend off all those
",2017-12-01
98797,6999,"honorable gentleman is a scurvy cur.""
",2017-12-28
98797,712,"
",2018-01-20
64827,276,"in eucalyptus trees.
",2017-06-06
64827,1365,"POP UP, PUSH DOWN, BYTE, BYTE, BYTE!
",2018-04-09
64827,9167,"flag.
",2017-06-22
82643,9570,"Let others think his heart is big,
",2017-10-23
82643,8442,"                -- La Rouchefoucauld
",2017-02-23
82643,7156,"        If Murphy's Law can go wrong, it will.
",2018-03-30
36731,5294,"the computer.
",2017-11-09
36731,5851,"None: ""We'll fix it in software.""
",2017-03-02
68787,6072,"Don't tell any big lies today.  Small ones can be just as effective.
",2017-09-05
68787,346,"How many software engineers does it take to change a lightbulb?
",2017-02-01
68787,4938,"The National Short-Sleeved Shirt Association says:
",2018-01-03
16558,3244,"                -- Mark Twain
",2017-12-12
16558,3053,"analyzed, and replaced with new weaknesses.
",2017-10-26
74135,3490,"Death is life's way of telling you you've been fired.
",2018-03-03
74135,8341,"Caution: breathing may be hazardous to your health.
",2017-09-22
74135,3199,"                -- Adlai Stevenson
",2017-06-12
67501,9346,"Losing your drivers' license is just God's way of saying ""BOOGA, BOOGA!""
",2018-04-07
67501,8785,"        except study for that instructor's course.
",2017-08-18
69482,1728,"                -- Mark Twain
",2017-07-10
69482,4859,"the continuing viability of Fortran.
",2017-06-30
69482,126,"                -- Bellamy Brooks
",2017-06-22
10946,174,"Our country has plenty of good five-cent cigars, but the trouble is
",2018-02-12
47740,2089,"fix it, and ...
",2017-12-18
11385,8548,"I'm prepared for all emergencies but totally unprepared for everyday
",2017-07-29
11385,8383,"Good day for a change of scene.  Repaper the bedroom wall.
",2017-12-25
11385,4993,"""In short, _N is Richardian if, and only if, _N is not Richardian.""
",2017-11-05
49342,8663,"""Now is the time for all good men to come to.""
",2017-06-17
49342,5922,"I'm not as think as you stoned I am.
",2017-01-29
49342,6393,"""All my friends and I are crazy.  That's the only thing that keeps us
",2017-02-13
89916,4072,"""All my friends and I are crazy.  That's the only thing that keeps us
",2017-11-13
45812,3072,"Conway's Law:
",2017-12-24
45812,6938,"full days you don't get.  Try to avoid Februarys whenever possible.
",2017-12-16
21134,7737,"Ass: The masculine of ""lass"".
",2018-02-16
21134,2792,"""Stealing a rhinoceros should not be attempted lightly.""
",2018-03-08
21134,2924,"IBM had a PL/I,
",2017-12-12
58907,9414,"""Stealing a rhinoceros should not be attempted lightly.""
",2018-02-25
58907,1926,"When the government bureau's remedies do not match your problem, you
",2018-04-18
58907,9388,"God said, ""Let Newton be,"" and all was light.
",2017-01-19
97362,6801,"Good day to let down old friends who need help.
",2017-10-29
18108,11,"        Its syntax worse than JOSS;
",2017-12-07
45776,8504,"I think that I shall never see
",2018-04-09
26676,3490,"The Second Law: The most you can accomplish by working is to break
",2018-03-08
26676,8004,"        If an idea can survive a bureaucratic review and be implemented
",2017-02-04
44776,1229,"""Just once, I wish we would encounter an alien menace that wasn't
",2017-04-09
44776,537,"aloud what the country could do under first-class management.
",2017-10-05
44776,85,"tobacco in between.
",2017-03-19
11062,3629,"Happiness: An agreeable sensation arising from contemplating the misery
",2017-06-25
11062,4534,"computer crashes.
",2017-05-12
11062,5269,"                -- Lewis Carroll
",2017-02-09
49553,8612,"A LISP programmer knows the value of everything, but the cost of
",2017-04-09
15211,8569,"If time heals all wounds, how come the belly button stays the same?
",2017-05-05
15211,4137,"And made cider inside her inside.
",2018-01-27
15211,5982,"Nothing is faster than the speed of light...
",2017-08-10
99106,8727,"                -- John Barrymore's dying words
",2017-12-30
99106,9974,"Die?  I should say not, dear fellow.  No Barrymore would allow such a
",2017-09-07
99106,6156,"To prove this to yourself, try opening the refrigerator door before
",2018-03-06
59076,5468,"                -- Lazarus Long
",2017-04-30
93928,3623,"Razors pain you;
",2018-04-14
69859,5157,"        2.  If a straight line fit is required, obtain only two data
",2017-12-30
69859,2059,"Advertisement: The most truthful part of a newspaper
",2017-03-08
69859,1200,"Perfect day for scrubbing the floor and other exciting things.
",2018-04-25
63794,8727,"Californians trying to share the experience.
",2018-01-24
56334,6148,"        when someone inadvertently opens the darkroom door and all of
",2017-02-13
39280,5606,"of being a damned fool.
",2017-10-13
51629,9273,"                -- Mickey Mouse
",2017-01-18
96804,4318,"                -- Joe Walsh
",2018-01-07
96804,5536,"their destitution of conscience.
",2017-06-02
96804,2581,"                -- D. J. Hicks
",2018-02-19
76797,8559,"McGowan's Madison Avenue Axiom:
",2017-10-13
62806,7995,"Only God can make random selections.
",2018-02-24
91893,7416,"                -- Mark Twain
",2017-12-09
91893,3415,"Do not take life too seriously; you will never get out if it alive.
",2017-06-02
37903,6114,"Oh, let us never, never doubt
",2017-03-09
37903,7259,"        reject the proposal.
",2017-04-16
59131,9434,"I'm prepared for all emergencies but totally unprepared for everyday
",2017-01-19
59131,746,"Die: To stop sinning suddenly.
",2017-12-25
83986,9159,"                -- Hawkwind
",2017-07-09
60957,3810,"Nature and nature's laws lay hid in night,
",2018-01-30
59060,6229,"enough cheese
",2017-12-02
59060,8605,"slandered.
",2017-11-25
33193,9780,"        hits the paper.
",2017-09-12
33193,5851,"Others will look to you for stability, so hide when you bite your
",2017-09-28
36669,8642,"The only way to get rid of a temptation is to yield to it.
",2017-02-21
36669,6843,"doing.
",2017-03-19
36669,1093,"indigestion.
",2017-08-07
27485,9126,"Good day to avoid cops.  Crawl to school.
",2017-04-16
27485,6722,"                -- Clint Eastwood
",2017-06-14
27485,9776,"
",2017-04-17
85272,2433,"There cannot be a crisis next week.  My schedule is already full.
",2017-06-11
85272,3878,"say what I wish done,"" give him a lollipop.
",2017-10-05
85272,9159,"Triple-Iso-Bifurcated-Krypton-Gate-MOS process...""
",2018-02-27
68219,8034,"shortest, though.
",2018-01-24
68219,924,"Computer programmers do it byte by byte
",2017-03-19
68219,9267,"        instructor will assign 200 pages on planaria.
",2018-01-23
53063,2924,"        All the easy problems have been solved.
",2017-05-27
53063,6869,"Brain fried -- Core dumped
",2017-05-21
68458,2924,"                -- A. E. Housman
",2017-01-03
68458,2210,"                -- Bill Hoest
",2017-09-22
68458,3900,"Ra!  Ra!  Ra!
",2017-10-19
96266,988,"But only what I tell it.
",2017-04-30
52739,5606,"Corner, Vermont.""
",2018-01-18
52739,1344,"Caution: breathing may be hazardous to your health.
",2018-02-19
29826,134,"Admiration: Our polite recognition of another's resemblance to
",2017-12-17
85937,515,"Reality is an obstacle to hallucination.
",2018-01-06
75716,8029,"I can resist anything but temptation.
",2017-10-20
75716,574,"Science is what happens when preconception meets verification.
",2017-03-13
75716,5101,"                -- Kehlog Albran
",2018-02-02
18309,8025,"Why did the Lord give us so much quickness of movement unless it was to
",2018-04-18
42113,6517,"Presidents and Kings to the scum of the earth...""
",2018-03-03
42113,3007,"Mollison's Bureaucracy Hypothesis:
",2017-02-21
42113,4354,"It was the reader's CONS
",2018-01-31
47204,816,"I must have slipped a disk -- my pack hurts
",2017-06-14
47204,7275,"        In any organization there will always be one person who knows
",2017-12-12
84292,8082,"It is the business of the future to be dangerous.
",2017-09-28
78795,3581,"Would you like to play Global Thermo-nuclear War?
",2017-06-01
78795,4993,"What this country needs is a good five cent ANYTHING!
",2017-07-05
78795,3595,"                -- Carl Zwanzig
",2018-02-09
56027,1290,"How long a minute is depends on which side of the bathroom door you're on.
",2018-03-23
56027,6656,"If you make people think they're thinking, they'll love you; but if you
",2017-02-20
76132,1960,"they charge fifteen cents for them.
",2017-02-24
61375,1878,"If you put garbage in a computer nothing comes out but garbage.  But
",2017-11-20
35311,7236,"You cannot kill time without injuring eternity.
",2017-04-19
35311,3072,"Your analyst has you mixed up with another patient.  Don't believe a
",2017-11-03
35311,1483,"Consultants are mystical people who ask a company for a number and then
",2017-12-03
38907,4681,"""I am not an Economist.  I am an honest man!""
",2018-04-24
38907,8698,"Keep grandma off the streets -- legalize bingo.
",2017-04-01
52297,5606,"Earn cash in your spare time -- blackmail your friends.
",2017-05-08
52297,8152,"poor to protect them from each other.
",2017-02-14
41484,4448,"See how it runs!  See how it runs!
",2017-06-26
12178,1404,"                -- Eleanor Roosevelt
",2017-08-21
